iter	Passed	Remaining
0	61	61130
1	61	30753
2	61	20601
3	62	15518
4	62	12475
5	62	10435
6	63	8980
7	63	7893
8	64	7055
9	64	6376
10	64	5823
11	65	5358
12	65	4968
13	65	4640
14	66	4355
15	66	4102
16	67	3878
17	67	3680
18	67	3506
19	68	3347
20	68	3206
21	69	3071
22	69	2947
23	69	2833
24	69	2729
25	70	2635
26	70	2550
27	71	2473
28	71	2397
29	71	2326
30	72	2259
31	72	2197
32	73	2139
33	73	2086
34	73	2038
35	74	1994
36	75	1952
37	75	1910
38	75	1867
39	76	1828
40	76	1790
41	76	1753
42	77	1719
43	77	1686
44	77	1654
45	78	1623
46	78	1593
47	78	1565
48	79	1538
49	79	1511
50	79	1487
51	80	1464
52	80	1442
53	81	1422
54	81	1400
55	81	1379
56	82	1359
57	82	1342
58	83	1324
59	83	1306
60	83	1289
61	84	1271
62	84	1254
63	84	1238
64	85	1222
65	85	1209
66	85	1195
67	86	1180
68	86	1166
69	86	1152
70	87	1143
71	87	1132
72	88	1122
73	88	1111
74	89	1100
75	89	1088
76	89	1077
77	90	1067
78	90	1056
79	91	1047
80	91	1037
81	91	1027
82	91	1015
83	92	1005
84	92	996
85	92	987
86	93	979
87	93	970
88	93	962
89	94	954
90	94	946
91	95	938
92	95	930
93	95	922
94	96	915
95	96	909
96	97	903
97	97	896
98	97	889
99	98	882
100	98	875
101	98	869
102	99	864
103	99	858
104	99	852
105	100	845
106	100	839
107	100	833
108	101	827
109	101	821
110	101	815
111	102	809
112	102	803
113	102	798
114	103	792
115	103	787
116	103	782
117	103	777
118	104	772
119	104	768
120	105	763
121	105	758
122	105	754
123	106	750
124	106	746
125	106	742
126	107	737
127	107	733
128	108	729
129	108	725
130	108	721
131	109	717
132	109	713
133	109	709
134	110	706
135	110	702
136	111	699
137	111	696
138	111	692
139	112	689
140	112	686
141	112	681
142	113	678
143	113	675
144	113	672
145	114	668
146	114	665
147	114	661
148	115	658
149	115	654
150	115	651
151	116	648
152	116	645
153	116	641
154	117	639
155	117	636
156	118	633
157	118	630
158	118	627
159	118	624
160	119	620
161	119	617
162	119	614
163	120	611
164	120	608
165	120	606
166	120	603
167	121	600
168	121	597
169	121	594
170	129	625
171	133	640
172	133	637
173	133	634
174	133	631
175	134	628
176	160	746
177	160	743
178	161	740
179	161	737
180	162	733
181	162	730
182	162	727
183	163	723
184	163	720
185	163	716
186	164	713
187	164	709
188	164	706
189	165	703
190	167	709
191	167	706
192	168	703
193	169	703
194	170	701
195	170	700
196	171	697
197	171	694
198	171	691
199	171	687
200	172	684
201	172	681
202	173	680
203	174	679
204	175	679
205	175	677
206	176	677
207	177	674
208	178	673
209	178	672
210	179	670
211	179	668
212	180	666
213	180	664
214	181	664
215	182	662
216	182	660
217	183	658
218	183	655
219	184	653
220	184	651
221	185	649
222	185	646
223	185	644
224	186	642
225	186	640
226	187	637
227	187	635
228	187	632
229	188	630
230	188	628
231	189	625
232	189	623
233	189	621
234	190	619
235	190	616
236	190	614
237	191	612
238	191	610
239	191	607
240	192	605
241	192	602
242	192	600
243	192	597
244	193	595
245	193	592
246	193	590
247	194	588
248	194	586
249	194	583
250	194	581
251	195	579
252	195	576
253	195	574
254	195	572
255	196	570
256	196	568
257	196	565
258	197	563
259	197	561
260	197	559
261	197	557
262	198	555
263	198	552
264	198	550
265	198	548
266	199	546
267	199	544
268	199	542
269	199	540
270	200	538
271	200	536
272	200	534
273	201	532
274	201	530
275	201	529
276	201	527
277	202	525
278	202	523
279	202	521
280	202	519
281	203	517
282	203	515
283	203	513
284	203	511
285	204	509
286	204	508
287	205	507
288	205	505
289	205	503
290	206	502
291	206	500
292	206	498
293	206	496
294	207	495
295	207	493
296	207	491
297	208	490
298	208	488
299	208	486
300	208	485
301	209	483
302	209	481
303	209	480
304	209	478
305	210	476
306	210	475
307	210	473
308	210	471
309	211	470
310	211	468
311	211	466
312	211	465
313	212	463
314	212	461
315	212	460
316	212	458
317	213	457
318	213	455
319	213	454
320	213	452
321	214	451
322	214	449
323	214	447
324	214	446
325	215	444
326	215	443
327	215	441
328	216	440
329	216	439
330	216	437
331	216	436
332	216	434
333	217	433
334	217	431
335	217	430
336	217	428
337	218	427
338	218	425
339	218	424
340	219	423
341	219	421
342	219	420
343	219	419
344	220	418
345	220	416
346	220	415
347	221	414
348	221	412
349	221	411
350	222	410
351	222	409
352	222	408
353	223	407
354	223	405
355	223	404
356	224	403
357	224	402
358	224	401
359	224	399
360	225	398
361	225	397
362	225	396
363	225	394
364	226	393
365	226	392
366	226	391
367	227	389
368	227	388
369	227	387
370	227	386
371	228	385
372	228	383
373	228	382
374	228	381
375	229	380
376	229	378
377	229	377
378	229	376
379	230	375
380	230	374
381	230	373
382	230	371
383	231	370
384	231	369
385	231	368
386	231	367
387	232	366
388	232	365
389	232	364
390	233	363
391	233	362
392	233	360
393	234	360
394	234	359
395	235	358
396	235	357
397	235	356
398	236	355
399	236	354
400	236	353
401	236	352
402	237	351
403	237	350
404	237	349
405	238	348
406	238	347
407	238	346
408	239	345
409	239	344
410	239	343
411	239	342
412	240	341
413	240	340
414	240	339
415	240	338
416	241	337
417	241	336
418	241	335
419	241	334
420	242	333
421	242	332
422	242	331
423	243	330
424	243	329
425	243	328
426	243	327
427	244	326
428	244	325
429	244	324
430	245	323
431	245	322
432	245	321
433	245	320
434	246	319
435	246	319
436	246	318
437	247	317
438	247	316
439	247	315
440	247	314
441	248	313
442	248	312
443	248	311
444	248	310
445	249	309
446	249	308
447	249	307
448	250	306
449	250	305
450	250	305
451	250	304
452	251	303
453	251	302
454	251	301
455	252	300
456	252	300
457	252	299
458	253	298
459	253	297
460	253	296
461	254	295
462	254	295
463	254	294
464	255	293
465	255	292
466	255	291
467	256	291
468	256	290
469	256	289
470	256	288
471	257	287
472	257	287
473	257	286
474	258	285
475	258	284
476	258	283
477	259	282
478	259	282
479	259	281
480	259	280
481	260	279
482	260	279
483	261	278
484	261	277
485	261	276
486	262	276
487	262	275
488	262	274
489	263	273
490	263	273
491	263	272
492	263	271
493	264	270
494	264	269
495	264	269
496	265	268
497	265	267
498	265	266
499	266	266
500	266	265
501	266	264
502	266	263
503	267	262
504	267	262
505	268	261
506	268	261
507	269	260
508	269	259
509	269	259
510	270	258
511	270	257
512	270	257
513	271	256
514	271	255
515	271	254
516	271	254
517	272	253
518	272	252
519	272	251
520	272	250
521	273	250
522	273	249
523	273	248
524	273	247
525	274	247
526	274	246
527	274	245
528	275	245
529	275	244
530	275	243
531	275	242
532	276	241
533	276	241
534	276	240
535	276	239
536	277	239
537	277	238
538	277	237
539	278	236
540	278	236
541	278	235
542	278	234
543	279	234
544	279	233
545	279	232
546	280	231
547	280	231
548	280	230
549	280	229
550	281	229
551	281	228
552	282	228
553	282	227
554	282	226
555	283	226
556	283	225
557	283	224
558	284	224
559	284	223
560	285	223
561	285	222
562	286	222
563	286	221
564	287	221
565	287	220
566	287	219
567	288	219
568	288	218
569	288	217
570	288	217
571	289	216
572	289	215
573	289	215
574	290	214
575	290	213
576	290	213
577	291	212
578	291	211
579	291	211
580	291	210
581	292	209
582	292	209
583	292	208
584	292	207
585	293	207
586	293	206
587	293	205
588	294	205
589	294	204
590	294	203
591	295	203
592	295	202
593	295	202
594	295	201
595	296	200
596	296	200
597	296	199
598	296	198
599	297	198
600	297	197
601	297	196
602	298	196
603	298	195
604	298	195
605	299	194
606	299	193
607	299	193
608	299	192
609	300	191
610	300	191
611	300	190
612	301	190
613	301	189
614	301	188
615	301	188
616	302	187
617	302	186
618	302	186
619	303	185
620	303	185
621	303	184
622	303	183
623	304	183
624	304	182
625	304	182
626	305	181
627	305	180
628	305	180
629	305	179
630	306	179
631	306	178
632	306	177
633	306	177
634	307	176
635	307	175
636	307	175
637	308	174
638	308	174
639	308	173
640	308	173
641	309	172
642	309	171
643	309	171
644	310	170
645	310	170
646	310	169
647	310	168
648	311	168
649	311	167
650	311	167
651	311	166
652	312	165
653	312	165
654	313	164
655	313	164
656	313	163
657	313	163
658	314	162
659	314	161
660	314	161
661	314	160
662	315	160
663	315	159
664	315	159
665	316	158
666	316	158
667	316	157
668	317	156
669	317	156
670	317	155
671	317	155
672	318	154
673	318	154
674	318	153
675	318	152
676	319	152
677	319	151
678	319	151
679	320	150
680	320	150
681	320	149
682	320	148
683	321	148
684	321	147
685	321	147
686	322	146
687	322	146
688	322	145
689	322	145
690	323	144
691	323	143
692	323	143
693	323	142
694	324	142
695	324	141
696	324	141
697	324	140
698	325	140
699	325	139
700	325	138
701	325	138
702	326	137
703	326	137
704	326	136
705	327	136
706	327	135
707	327	135
708	327	134
709	328	134
710	329	133
711	329	133
712	329	132
713	329	132
714	330	131
715	330	131
716	330	130
717	331	130
718	331	129
719	331	128
720	331	128
721	332	127
722	332	127
723	332	126
724	332	126
725	333	125
726	333	125
727	333	124
728	333	124
729	334	123
730	334	123
731	334	122
732	335	122
733	335	121
734	335	121
735	336	120
736	336	120
737	336	119
738	336	118
739	337	118
740	337	117
741	337	117
742	337	116
743	338	116
744	338	115
745	338	115
746	338	114
747	339	114
748	339	113
749	339	113
750	339	112
751	340	112
752	340	111
753	340	111
754	341	110
755	341	110
756	341	109
757	341	109
758	342	108
759	342	108
760	342	107
761	342	107
762	343	106
763	343	106
764	343	105
765	344	105
766	344	104
767	344	104
768	344	103
769	345	103
770	345	102
771	345	102
772	346	101
773	346	101
774	346	100
775	346	100
776	347	99
777	347	99
778	347	98
779	347	98
780	348	97
781	348	97
782	348	96
783	349	96
784	349	95
785	349	95
786	350	94
787	350	94
788	350	93
789	350	93
790	351	92
791	351	92
792	351	91
793	352	91
794	352	90
795	352	90
796	352	89
797	353	89
798	353	88
799	353	88
800	353	87
801	354	87
802	354	86
803	354	86
804	354	85
805	355	85
806	355	85
807	355	84
808	355	84
809	356	83
810	356	83
811	356	82
812	357	82
813	357	81
814	357	81
815	357	80
816	358	80
817	358	79
818	358	79
819	358	78
820	359	78
821	359	77
822	359	77
823	359	76
824	360	76
825	360	75
826	360	75
827	361	75
828	361	74
829	361	74
830	362	73
831	362	73
832	362	72
833	363	72
834	363	71
835	363	71
836	363	70
837	364	70
838	364	69
839	364	69
840	365	69
841	365	68
842	365	68
843	365	67
844	366	67
845	366	66
846	366	66
847	366	65
848	367	65
849	367	64
850	367	64
851	368	63
852	368	63
853	368	63
854	368	62
855	369	62
856	369	61
857	369	61
858	369	60
859	370	60
860	370	59
861	370	59
862	370	58
863	371	58
864	371	57
865	371	57
866	372	57
867	372	56
868	372	56
869	373	55
870	373	55
871	373	54
872	373	54
873	374	53
874	374	53
875	374	53
876	374	52
877	375	52
878	375	51
879	375	51
880	376	50
881	376	50
882	376	49
883	377	49
884	377	49
885	377	48
886	378	48
887	378	47
888	378	47
889	379	46
890	379	46
891	379	45
892	380	45
893	380	45
894	380	44
895	380	44
896	381	43
897	381	43
898	381	42
899	381	42
900	382	41
901	382	41
902	382	41
903	382	40
904	383	40
905	383	39
906	383	39
907	383	38
908	384	38
909	384	38
910	384	37
911	384	37
912	385	36
913	385	36
914	385	35
915	385	35
916	386	34
917	386	34
918	386	34
919	386	33
920	387	33
921	387	32
922	387	32
923	388	31
924	388	31
925	389	31
926	389	30
927	389	30
928	390	29
929	390	29
930	390	28
931	391	28
932	391	28
933	391	27
934	391	27
935	392	26
936	392	26
937	392	25
938	393	25
939	393	25
940	393	24
941	393	24
942	394	23
943	394	23
944	394	22
945	394	22
946	395	22
947	395	21
948	395	21
949	395	20
950	396	20
951	396	19
952	396	19
953	396	19
954	397	18
955	397	18
956	397	17
957	397	17
958	398	17
959	398	16
960	398	16
961	398	15
962	399	15
963	399	14
964	399	14
965	399	14
966	400	13
967	400	13
968	400	12
969	400	12
970	401	11
971	401	11
972	401	11
973	401	10
974	402	10
975	402	9
976	402	9
977	403	9
978	403	8
979	403	8
980	403	7
981	404	7
982	404	6
983	404	6
984	404	6
985	405	5
986	405	5
987	405	4
988	405	4
989	406	4
990	406	3
991	406	3
992	407	2
993	407	2
994	407	2
995	407	1
996	408	1
997	408	0
998	408	0
999	409	0
